DMUs,Efficiency
6415301,1.000000000000000
8704402,0.999999999999995
8744203,0.999999999999993
7929902,0.999999999999982
8727803,0.999999999999278
7907703,0.999999999997776
8009201,0.821645767378735
6603805,0.719898024520085
8720306,0.502976597130631
8125102,0.493265694779725
8746702,0.363883437368037
8721610,0.361437161918309
8435404,0.341779167562122
8721611,0.338887299523488
8430104,0.333935379472947
8018102,0.314693682983294
7928710,0.310959858475989
8842202,0.310640537351734
8746704,0.308838715599470
8443505,0.295681074629593
8834602,0.295261190378803
8728204,0.291215017890529
8721105,0.282088172515442
8422501,0.249200856977727
7840302,0.241855592368735
8443506,0.232925078084787
8102104,0.229602778804346
7864803,0.229031301427749
7917801,0.228286786459341
8739303,0.224906049529456
8842203,0.220025124608106
8735405,0.208191159794683
8420304,0.207790768668612
7909801,0.200343398057790
6149302,0.199248183777787
8322702,0.179666647418416
8711601,0.179587399203252
8746301,0.175535010336584
8726302,0.175298547957473
8431502,0.167183933861901
8850812,0.165485015587607
6135503,0.160501756904820
8443509,0.160368331692007
8744205,0.159934871093078
5948504,0.158330251812169
8707302,0.156929311719370
8706701,0.153254818798044
8438703,0.152344122294912
8430501,0.151639352751801
8463102,0.150386435357424
8112704,0.150349133792683
8736805,0.149238375969598
8755402,0.149054422252108
8445506,0.148474628427819
8429311,0.148242705775146
8743604,0.147673120905628
8754302,0.146848857408574
7928504,0.144939873372285
8737203,0.142945669448600
8436601,0.136925110636192
5959305,0.134814637051386
8739209,0.134561447136820
8707604,0.133157892834403
6657403,0.129348489305058
8719402,0.129073404166720
8737703,0.128249599795377
7925103,0.126709655523501
7906102,0.123855788840083
8444102,0.123485702292079
8430606,0.120402417446805
8436606,0.116862876500176
8451303,0.116649137450265
8415705,0.114758428200251
8447913,0.113935658771555
8435201,0.113033209246447
8447311,0.112902758136127
7909601,0.111837290195318
6739101,0.111165609347863
8448117,0.111157074318124
8463101,0.109955487642835
8720503,0.109923199817537
8755404,0.109079474508902
8452401,0.105058145845572
8423107,0.104445171344081
8412301,0.104437948445387
8737702,0.103077278506584
8743301,0.101814934122780
7925303,0.101756657217471
8421307,0.100178533898597
8857103,0.099652640118536
6664801,0.099536958922325
8444901,0.099292218899363
8720703,0.098981033913286
8438706,0.098860057772410
8424602,0.098040404741920
8325801,0.096481665716968
8444402,0.094599322188483
8301509,0.093844043334025
8327901,0.093474727864181
8431202,0.093082517437521
8026502,0.092945561356307
6625103,0.091337875012456
7856401,0.090553844710883
8739403,0.089826649653111
8747403,0.089620902088642
6662110,0.088680348441462
6620207,0.085981637497572
8325902,0.085022747587047
8404708,0.083866496425908
8408301,0.082394457064708
8416506,0.081601274704973
6620910,0.081042624708720
8415704,0.078559460717730
8447601,0.078451574730132
8454304,0.076412283965688
8325914,0.075577285911603
8707601,0.074423332447514
8746601,0.074192048371814
8746703,0.073713786297595
8434407,0.073575995949080
7816608,0.073501912612511
7902505,0.073417586015292
8754102,0.073064892856061
8334209,0.071773128126286
8326704,0.070660560067077
8746701,0.068770022996502
7964829,0.068769842814644
8423105,0.068529994897049
8326725,0.067348847037564
6602402,0.067015655074402
8463602,0.066998005438318
8334708,0.066975595547265
8454501,0.065813339160236
8755508,0.065568468146585
6150803,0.065161401254118
8319101,0.064727616836376
8463309,0.063873903800158
6415707,0.062396103947005
8322704,0.061878634275618
7924902,0.061593496461285
8326206,0.061563617586072
